role,industry,company_size,lead_source,seniority,growth_rate,lead_score,timing_segment,day_of_week,send_hour,timezone_region,email_replied
HR Director,Fintech,medium,Referral,senior,0.843,0.463,HR Director|Referral|US,Friday,1,US,0
Marketing Manager,Fintech,enterprise,Inbound,junior,0.498,0.341,Marketing Manager|Inbound|Europe,Saturday,17,Europe,0
HR Director,Healthcare,large,Conference,junior,0.689,0.372,HR Director|Conference|Europe,Tuesday,14,Europe,0
Marketing Manager,AI,large,Conference,mid,0.761,0.379,Marketing Manager|Conference|US,Friday,17,US,1
CEO,Fintech,small,LinkedIn,senior,0.945,0.514,CEO|LinkedIn|Europe,Sunday,19,Europe,0
Marketing Manager,Ecommerce,large,Referral,mid,0.498,0.4,Marketing Manager|Referral|Europe,Friday,14,Europe,1
VP Sales,Ecommerce,enterprise,Referral,mid,0.583,0.433,VP Sales|Referral|Europe,Monday,1,Europe,0
VP Sales,AI,small,LinkedIn,executive,0.134,0.359,VP Sales|LinkedIn|Europe,Wednesday,23,Europe,0
Founder,Ecommerce,medium,ColdList,senior,0.074,0.243,Founder|ColdList|Asia,Friday,14,Asia,0
CTO,Fintech,small,Conference,senior,0.795,0.513,CTO|Conference|Europe,Wednesday,17,Europe,0
Founder,SaaS,small,LinkedIn,mid,0.714,0.436,Founder|LinkedIn|Asia,Sunday,15,Asia,0
Marketing Manager,Ecommerce,large,Referral,executive,0.991,0.554,Marketing Manager|Referral|Asia,Saturday,9,Asia,0
HR Director,Ecommerce,large,Conference,junior,0.368,0.29,HR Director|Conference|Europe,Saturday,3,Europe,0
HR Director,SaaS,enterprise,ColdList,mid,0.721,0.334,HR Director|ColdList|US,Friday,15,US,0
VP Sales,Fintech,medium,LinkedIn,junior,0.191,0.266,VP Sales|LinkedIn|Europe,Thursday,10,Europe,0
Founder,Healthcare,small,Referral,mid,0.561,0.437,Founder|Referral|Asia,Saturday,15,Asia,0
Founder,AI,large,ColdList,executive,0.192,0.308,Founder|ColdList|Asia,Tuesday,8,Asia,0
Marketing Manager,Fintech,enterprise,ColdList,executive,0.349,0.271,Marketing Manager|ColdList|Europe,Sunday,23,Europe,0
VP Sales,AI,medium,ColdList,junior,0.288,0.325,VP Sales|ColdList|Europe,Saturday,2,Europe,0
CEO,Fintech,large,Inbound,senior,0.137,0.318,CEO|Inbound|Asia,Friday,23,Asia,0
CEO,Fintech,small,LinkedIn,executive,0.33,0.414,CEO|LinkedIn|Asia,Thursday,3,Asia,0
CEO,Healthcare,enterprise,Conference,mid,0.756,0.443,CEO|Conference|Europe,Wednesday,10,Europe,1
Founder,Fintech,small,Referral,executive,0.882,0.62,Founder|Referral|Europe,Tuesday,1,Europe,0
Marketing Manager,SaaS,small,ColdList,junior,0.928,0.449,Marketing Manager|ColdList|Europe,Wednesday,9,Europe,0
CEO,Ecommerce,enterprise,ColdList,mid,0.809,0.413,CEO|ColdList|Asia,Wednesday,5,Asia,0
HR Director,AI,large,Inbound,mid,0.175,0.285,HR Director|Inbound|Europe,Sunday,20,Europe,0
HR Director,SaaS,medium,Referral,executive,0.324,0.371,HR Director|Referral|Europe,Tuesday,0,Europe,0
Marketing Manager,AI,small,ColdList,senior,0.693,0.371,Marketing Manager|ColdList|US,Monday,21,US,0
HR Director,AI,small,ColdList,senior,0.615,0.324,HR Director|ColdList|Europe,Tuesday,4,Europe,0
VP Sales,Ecommerce,enterprise,Inbound,mid,0.762,0.465,VP Sales|Inbound|US,Saturday,19,US,0
Founder,SaaS,small,Inbound,mid,0.573,0.459,Founder|Inbound|Europe,Tuesday,5,Europe,0
HR Director,Ecommerce,enterprise,LinkedIn,executive,0.809,0.44,HR Director|LinkedIn|Asia,Thursday,4,Asia,0
HR Director,AI,small,Conference,senior,0.816,0.404,HR Director|Conference|Asia,Saturday,6,Asia,0
Founder,SaaS,small,Conference,junior,0.287,0.359,Founder|Conference|Asia,Tuesday,4,Asia,0
VP Sales,Healthcare,enterprise,Conference,junior,0.683,0.424,VP Sales|Conference|US,Saturday,17,US,0
Founder,Healthcare,medium,Referral,junior,0.756,0.519,Founder|Referral|Asia,Wednesday,14,Asia,1
CEO,Fintech,enterprise,ColdList,mid,0.276,0.292,CEO|ColdList|US,Saturday,3,US,0
CTO,Fintech,medium,LinkedIn,junior,0.594,0.423,CTO|LinkedIn|Asia,Thursday,19,Asia,0
VP Sales,Healthcare,medium,Inbound,mid,0.754,0.481,VP Sales|Inbound|US,Sunday,1,US,0
HR Director,Ecommerce,large,Inbound,senior,0.237,0.284,HR Director|Inbound|Asia,Tuesday,21,Asia,0
Founder,Fintech,enterprise,Inbound,executive,0.047,0.314,Founder|Inbound|Asia,Wednesday,20,Asia,0
VP Sales,Fintech,large,Conference,mid,0.754,0.435,VP Sales|Conference|US,Thursday,7,US,0
CTO,Ecommerce,enterprise,Conference,mid,0.388,0.34,CTO|Conference|Europe,Wednesday,6,Europe,0
CTO,Ecommerce,medium,LinkedIn,senior,0.377,0.405,CTO|LinkedIn|US,Friday,19,US,0
HR Director,Ecommerce,medium,Conference,mid,0.869,0.4,HR Director|Conference|US,Wednesday,9,US,0
HR Director,Healthcare,medium,Inbound,mid,0.397,0.343,HR Director|Inbound|Europe,Tuesday,17,Europe,0
Marketing Manager,AI,large,ColdList,executive,0.466,0.361,Marketing Manager|ColdList|Europe,Sunday,23,Europe,0
Marketing Manager,Healthcare,small,Inbound,mid,0.741,0.452,Marketing Manager|Inbound|Asia,Monday,8,Asia,0
CEO,Fintech,large,Referral,executive,0.57,0.522,CEO|Referral|Asia,Tuesday,15,Asia,1
VP Sales,Healthcare,enterprise,Referral,senior,0.169,0.322,VP Sales|Referral|Europe,Saturday,17,Europe,0
CTO,Ecommerce,small,LinkedIn,junior,0.764,0.432,CTO|LinkedIn|Asia,Thursday,4,Asia,1
Founder,Healthcare,large,LinkedIn,executive,0.659,0.489,Founder|LinkedIn|Asia,Monday,0,Asia,0
Marketing Manager,Ecommerce,large,LinkedIn,executive,0.806,0.468,Marketing Manager|LinkedIn|US,Tuesday,3,US,0
Marketing Manager,AI,large,Conference,junior,0.373,0.264,Marketing Manager|Conference|Asia,Thursday,14,Asia,0
CTO,SaaS,small,Conference,executive,0.377,0.366,CTO|Conference|Asia,Thursday,1,Asia,0
VP Sales,AI,small,Inbound,junior,0.23,0.332,VP Sales|Inbound|Asia,Sunday,22,Asia,0
Marketing Manager,Ecommerce,small,Referral,senior,0.016,0.285,Marketing Manager|Referral|US,Tuesday,18,US,0
CTO,AI,medium,Inbound,mid,0.567,0.46,CTO|Inbound|Asia,Sunday,12,Asia,0
CEO,SaaS,large,LinkedIn,junior,0.437,0.371,CEO|LinkedIn|Europe,Sunday,2,Europe,0
Marketing Manager,SaaS,large,Conference,executive,0.228,0.279,Marketing Manager|Conference|Europe,Friday,12,Europe,0
Founder,AI,medium,LinkedIn,junior,0.268,0.287,Founder|LinkedIn|Asia,Thursday,22,Asia,0
CTO,SaaS,large,Conference,senior,0.761,0.458,CTO|Conference|US,Monday,4,US,0
VP Sales,SaaS,small,LinkedIn,senior,0.554,0.454,VP Sales|LinkedIn|Europe,Friday,19,Europe,0
CTO,Ecommerce,medium,Inbound,mid,0.685,0.446,CTO|Inbound|Europe,Tuesday,4,Europe,1
VP Sales,AI,enterprise,ColdList,executive,0.783,0.487,VP Sales|ColdList|US,Wednesday,8,US,0
VP Sales,SaaS,medium,ColdList,junior,0.949,0.5,VP Sales|ColdList|Europe,Wednesday,19,Europe,0
HR Director,Ecommerce,medium,ColdList,senior,0.603,0.334,HR Director|ColdList|Europe,Saturday,6,Europe,0
Marketing Manager,Healthcare,medium,ColdList,executive,0.28,0.258,Marketing Manager|ColdList|Europe,Sunday,12,Europe,0
Founder,Fintech,small,Conference,mid,0.438,0.388,Founder|Conference|US,Wednesday,22,US,0
VP Sales,Fintech,large,Referral,senior,0.659,0.47,VP Sales|Referral|Europe,Saturday,13,Europe,0
VP Sales,Ecommerce,enterprise,Inbound,junior,0.791,0.479,VP Sales|Inbound|Asia,Wednesday,22,Asia,0
CEO,AI,medium,Inbound,junior,0.563,0.42,CEO|Inbound|Asia,Saturday,21,Asia,0
VP Sales,SaaS,small,LinkedIn,senior,0.222,0.339,VP Sales|LinkedIn|Asia,Saturday,16,Asia,0
VP Sales,Healthcare,medium,ColdList,junior,0.483,0.315,VP Sales|ColdList|US,Wednesday,13,US,1
Marketing Manager,AI,enterprise,Referral,executive,0.348,0.383,Marketing Manager|Referral|Asia,Monday,14,Asia,0
HR Director,SaaS,small,ColdList,junior,0.677,0.341,HR Director|ColdList|US,Tuesday,23,US,0
VP Sales,Healthcare,medium,Conference,mid,0.186,0.254,VP Sales|Conference|Europe,Saturday,13,Europe,0
Founder,Healthcare,enterprise,LinkedIn,mid,0.206,0.284,Founder|LinkedIn|US,Sunday,22,US,0
Marketing Manager,AI,medium,Conference,junior,0.262,0.291,Marketing Manager|Conference|Asia,Sunday,15,Asia,0
VP Sales,Ecommerce,small,ColdList,senior,0.846,0.493,VP Sales|ColdList|Asia,Friday,5,Asia,0
CTO,Fintech,large,LinkedIn,mid,0.305,0.297,CTO|LinkedIn|Asia,Tuesday,11,Asia,0
Founder,Healthcare,enterprise,Referral,executive,0.636,0.512,Founder|Referral|US,Saturday,20,US,0
Marketing Manager,Healthcare,small,ColdList,junior,0.485,0.286,Marketing Manager|ColdList|Asia,Tuesday,12,Asia,0
VP Sales,Healthcare,enterprise,Referral,junior,0.565,0.391,VP Sales|Referral|Europe,Sunday,7,Europe,0
VP Sales,Ecommerce,enterprise,Inbound,junior,0.573,0.414,VP Sales|Inbound|Europe,Wednesday,17,Europe,0
VP Sales,Ecommerce,medium,Conference,junior,0.736,0.476,VP Sales|Conference|Europe,Saturday,7,Europe,0
CTO,Healthcare,small,Referral,mid,0.811,0.546,CTO|Referral|Europe,Friday,22,Europe,0
Founder,Fintech,medium,Referral,junior,0.57,0.453,Founder|Referral|Asia,Friday,8,Asia,0
Marketing Manager,Ecommerce,large,Inbound,junior,0.136,0.287,Marketing Manager|Inbound|US,Sunday,13,US,0
CEO,Fintech,medium,ColdList,mid,0.761,0.394,CEO|ColdList|Europe,Saturday,12,Europe,0
